bid_number,items,quantity,department,start_date,end_date
GEM/2025/B/6196225,SMS-1 STEEL LADLE BACKUP REFRA...,18,"Ministry of Steel
Rashtriya Ispat Nigam Limited",06-05-2025 5:30 PM,05-07-2025 9:00 AM
GEM/2025/B/6244019,Manpower Outsourcing Services ...,3,"Ministry of Home Affairs
Department of Home",05-06-2025 1:16 PM,05-07-2025 2:00 PM
GEM/2025/B/6284817,Hiring of Earth Moving Equipme...,2,"Ministry of Power
NA",03-06-2025 11:06 AM,03-07-2025 11:00 AM
GEM/2025/B/6267639,Monthly Basis Cab and Taxi Hir...,1,"Ministry of Power
NA",03-06-2025 12:26 PM,03-07-2025 1:00 PM
GEM/2025/B/6325175,Procurement of Furniture for f...,1,"Ministry of Defence
Department of Defence",10-06-2025 4:31 PM,01-07-2025 5:00 PM
GEM/2025/B/6325060,Bus Hiring Service - Regular B...,1,"Ministry of Education
Department of Higher Education",09-06-2025 4:26 PM,01-07-2025 11:00 AM
GEM/2025/B/6324913,Custom Bid for Services - Sche...,7,"Ministry of Railways
Indian Railways",09-06-2025 5:03 PM,02-07-2025 5:00 PM
GEM/2025/B/6327873,"Dismantling works,Erection wor...",347,"PMO
Department of Atomic Energy",10-06-2025 12:59 PM,01-07-2025 3:00 PM
GEM/2025/B/6327586,"Replacement Works 1,Replacemen...",6,"PMO
Department of Atomic Energy",10-06-2025 12:05 PM,01-07-2025 3:00 PM
GEM/2025/B/6329526,Monthly Basis Cab & Taxi Hirin...,1,"Ministry of Railways
Indian Railways",10-06-2025 6:38 PM,03-07-2025 7:00 PM
